hostname,name,interfaces,description,role,app,env,loc,os,review
10.52.130.107,database-oracle-10-52-130-107,umwl:10.52.130.107,[C3 P1 conf:Alta] Base de datos Oracle 1521 en OCI consumida por wlsfp1a (44.000 flujos),Database-Oracle,,Production,OCI-Vinhedo,,PENDING
192.168.86.103,database-oracle-192-168-86-103,umwl:192.168.86.103,[C3 P2 conf:Media] Otras bases Oracle (1521/1525/1526/1627) consumidas por wlsfp1a; cuatro con direccionamiento público (ver S-05),Database-Oracle,,Production,DC-OnPrem,,PENDING
172.28.253.80,database-oracle-172-28-253-80,umwl:172.28.253.80,[C3 P2 conf:Media] Otras bases Oracle (1521/1525/1526/1627) consumidas por wlsfp1a; cuatro con direccionamiento público (ver S-05),Database-Oracle,,Production,DC-OnPrem,,PENDING
200.7.29.179,database-oracle-200-7-29-179,umwl:200.7.29.179,[C3 P2 conf:Media] Otras bases Oracle (1521/1525/1526/1627) consumidas por wlsfp1a; cuatro con direccionamiento público (ver S-05),Database-Oracle,,Production,DC-OnPrem,,PENDING
200.7.29.180,database-oracle-200-7-29-180,umwl:200.7.29.180,[C3 P2 conf:Media] Otras bases Oracle (1521/1525/1526/1627) consumidas por wlsfp1a; cuatro con direccionamiento público (ver S-05),Database-Oracle,,Production,DC-OnPrem,,PENDING
200.7.29.144,database-oracle-200-7-29-144,umwl:200.7.29.144,[C3 P2 conf:Media] Otras bases Oracle (1521/1525/1526/1627) consumidas por wlsfp1a; cuatro con direccionamiento público (ver S-05),Database-Oracle,,Production,DC-OnPrem,,PENDING
200.7.29.147,database-oracle-200-7-29-147,umwl:200.7.29.147,[C3 P2 conf:Media] Otras bases Oracle (1521/1525/1526/1627) consumidas por wlsfp1a; cuatro con direccionamiento público (ver S-05),Database-Oracle,,Production,DC-OnPrem,,PENDING
192.168.185.68,database-oracle-192-168-185-68,umwl:192.168.185.68,[C3 P2 conf:Media] Otras bases Oracle (1521/1525/1526/1627) consumidas por wlsfp1a; cuatro con direccionamiento público (ver S-05),Database-Oracle,,Production,DC-OnPrem,,PENDING
192.168.186.114,database-oracle-192-168-186-114,umwl:192.168.186.114,[C3 P2 conf:Media] Otras bases Oracle (1521/1525/1526/1627) consumidas por wlsfp1a; cuatro con direccionamiento público (ver S-05),Database-Oracle,,Production,DC-OnPrem,,PENDING
192.168.186.39,database-oracle-192-168-186-39,umwl:192.168.186.39,[C3 P2 conf:Media] Otras bases Oracle (1521/1525/1526/1627) consumidas por wlsfp1a; cuatro con direccionamiento público (ver S-05),Database-Oracle,,Production,DC-OnPrem,,PENDING
10.43.32.142,database-oracle-10-43-32-142,umwl:10.43.32.142,[C3 P2 conf:Media] Otras bases Oracle (1521/1525/1526/1627) consumidas por wlsfp1a; cuatro con direccionamiento público (ver S-05),Database-Oracle,,Production,DC-OnPrem,,PENDING
192.168.86.76,messaging-192-168-86-76,umwl:192.168.86.76,[C3 P1 conf:Alta] IBM MQ (1414/TCP) consumido por atun4,Messaging,CoreInfra,Production,DC-OnPrem,,PENDING
192.168.86.77,messaging-192-168-86-77,umwl:192.168.86.77,[C3 P1 conf:Alta] IBM MQ (1414/TCP) consumido por atun4,Messaging,CoreInfra,Production,DC-OnPrem,,PENDING
10.52.129.231,logcollector-10-52-129-231,umwl:10.52.129.231,[C3 P1 conf:Alta] Indexadores Splunk 9997 (forwarders en occ9 y wlsfp1a),LogCollector,Observability,Production,OCI-Vinhedo,,PENDING
10.52.129.88,logcollector-10-52-129-88,umwl:10.52.129.88,[C3 P1 conf:Alta] Indexadores Splunk 9997 (forwarders en occ9 y wlsfp1a),LogCollector,Observability,Production,OCI-Vinhedo,,PENDING
occ1proemap01.tdethecloud.internal,occ1proemap01,umwl:10.52.129.122,[C3 P1 conf:Alta] occ1proemap01.tdethecloud.internal · Oracle Enterprise Manager (OMS) 4903 consumido por el agente emagent13c de occ9,Monitoring,Observability,Production,OCI-Vinhedo,,PENDING
10.51.1.183,backup-10-51-1-183,umwl:10.51.1.183,[C3 P1 conf:Alta] NetBackup (master/media) 1556 consumido por occ9; el cliente expone bpcd 13782 y vnetd 13724,Backup,CoreInfra,Production,DC-OnPrem,,PENDING
10.51.1.184,backup-10-51-1-184,umwl:10.51.1.184,[C3 P1 conf:Alta] NetBackup (master/media) 1556 consumido por occ9; el cliente expone bpcd 13782 y vnetd 13724,Backup,CoreInfra,Production,DC-OnPrem,,PENDING
10.51.27.16,bastion-10-51-27-16,umwl:10.51.27.16,[C3 P1 conf:Alta] Origen SSH (root) hacia los tres hosts: bastión o automatización,Bastion,AdminAccess,Production,DC-OnPrem,,PENDING
appswls.corp.com,appswls,umwl:172.27.1.13,[C3 P2 conf:Media] appswls.corp.com · HTTP 80 consumido por wlsfp1a (5.779 flujos),WebApp,,Production,DC-OnPrem,,PENDING
smcadm.unix.corp-p.corp2.com,smcadm,umwl:192.168.173.200,[C3 P2 conf:Media] smcadm.unix.corp-p.corp2.com · HTTP 80 consumido por atun4 y wlsfp1a (28 flujos),AgentMgmt,SecurityTools,Production,DC-OnPrem,,PENDING
10.43.3.13,mail-10-43-3-13,umwl:10.43.3.13,[C3 P2 conf:Media] Relay SMTP 25 consumido por wlsfp1a,Mail,CoreInfra,Production,DC-OnPrem,,PENDING
172.29.14.174,filetransfer-172-29-14-174,umwl:172.29.14.174,[C3 P2 conf:Media] Destino FTP 21 de atun4 (24 flujos),FileTransfer,,Production,DC-OnPrem,,PENDING
10.57.240.120,umwl-10-57-240-120,umwl:10.57.240.120,[C3 P3 conf:Baja] Servicios 5052 y 24100-24140 consumidos por occ9 (pocos flujos); identificar,,,,,,PENDING
10.52.144.93,umwl-10-52-144-93,umwl:10.52.144.93,[C3 P3 conf:Baja] Servicios 5052 y 24100-24140 consumidos por occ9 (pocos flujos); identificar,,,,,,PENDING
10.12.32.135,umwl-10-12-32-135,umwl:10.12.32.135,[C3 P3 conf:Baja] Servicios 5052 y 24100-24140 consumidos por occ9 (pocos flujos); identificar,,,,,,PENDING
10.43.33.178,scanner-10-43-33-178,umwl:10.43.33.178,[C3 P3 conf:Media] Escáneres de vulnerabilidades (ver S-01); crear cuando se confirme su identidad. En occ9 el escaneo usa la cuenta cyarktenable,Scanner,SecurityTools,Production,DC-OnPrem,,PENDING
10.51.25.249,scanner-10-51-25-249,umwl:10.51.25.249,[C3 P3 conf:Media] Escáneres de vulnerabilidades (ver S-01); crear cuando se confirme su identidad. En occ9 el escaneo usa la cuenta cyarktenable,Scanner,SecurityTools,Production,DC-OnPrem,,PENDING
