hostname,name,interfaces,description,role,app,env,loc,review
,Front-End Billing 10.30.1.21,eth0:10.30.1.21,"[G1 P1 conf:Alta] Servidores web de Billing en la nube: consumen 7001/TCP en bil-app-01 con carga desigual por nodo (.21 concentra el 60 %); .22 y .23 además suben archivos por SFTP 22, algo que un balanceador no hace. Los balanceadores son los VIP 10.30.1.20 y 10.30.5.20 | Visto en: v1+v2",Web,Billing,Production,Cloud,UNCHANGED
,Front-End Billing 10.30.1.22,eth0:10.30.1.22,"[G1 P1 conf:Alta] Servidores web de Billing en la nube: consumen 7001/TCP en bil-app-01 con carga desigual por nodo (.21 concentra el 60 %); .22 y .23 además suben archivos por SFTP 22, algo que un balanceador no hace. Los balanceadores son los VIP 10.30.1.20 y 10.30.5.20 | Visto en: v1+v2",Web,Billing,Production,Cloud,UNCHANGED
,Front-End Billing 10.30.1.23,eth0:10.30.1.23,"[G1 P1 conf:Alta] Servidores web de Billing en la nube: consumen 7001/TCP en bil-app-01 con carga desigual por nodo (.21 concentra el 60 %); .22 y .23 además suben archivos por SFTP 22, algo que un balanceador no hace. Los balanceadores son los VIP 10.30.1.20 y 10.30.5.20 | Visto en: v1+v2",Web,Billing,Production,Cloud,UNCHANGED
,VIP Billing 10.30.1.20,eth0:10.30.1.20,[G1 P1 conf:Alta] VIP del balanceador de Billing (uno por subred/zona): recibe 443/TCP desde Internet vía el WAF y reparte 8080/TCP a los front-ends | Visto en: v1+v2,LoadBalancer,Billing,Production,Cloud,UNCHANGED
,VIP Billing 10.30.5.20,eth0:10.30.5.20,[G1 P1 conf:Alta] VIP del balanceador de Billing (uno por subred/zona): recibe 443/TCP desde Internet vía el WAF y reparte 8080/TCP a los front-ends | Visto en: v1+v2,LoadBalancer,Billing,Production,Cloud,UNCHANGED
,Base de Datos Billing RAC 10.30.3.31,eth0:10.30.3.31,"[G1 P1 conf:Alta] 1521/TCP desde bil-app-01 (usuario billing; ≈900.000 flujos); nodo RAC, interconnect entre .31 y .32 en 1521/UDP | Visto en: v1+v2",Database,Billing,Production,Cloud,UNCHANGED
,Base de Datos Billing RAC 10.30.3.32,eth0:10.30.3.32,"[G1 P1 conf:Alta] 1521/TCP desde bil-app-01 (usuario billing; ≈900.000 flujos); nodo RAC, interconnect entre .31 y .32 en 1521/UDP | Visto en: v1+v2",Database,Billing,Production,Cloud,UNCHANGED
,Servidor de Reportes Billing 10.30.2.25,eth0:10.30.2.25,[G1 P2 conf:Media] Consume 7001/TCP en bil-app-01 fuera de horario (02:00–04:00) y 1521 en el RAC; genera reportes batch | Visto en: v1+v2,App,Billing,Production,Cloud,UNCHANGED
,Destino SFTP Billing 10.30.6.30,eth0:10.30.6.30,"[G1 P2 conf:Media] 22/TCP desde bil-app-01 (proceso sftp, 4.800 sesiones): intercambio de archivos con el ERP | Visto en: v1+v2",FileTransfer,Billing,Production,Cloud,UNCHANGED
,Servidor HTTP Legacy 10.20.9.15,eth0:10.20.9.15,"[G1 P2 conf:Baja] 80/TCP desde ord-app-01 (12.000 flujos, HTTP en claro; hallazgo S-04); aplicación a confirmar | Visto en: v1+v2",Web,,Production,DC1,UNCHANGED
,Consola OEM 10.30.4.22,eth0:10.30.4.22,[G1 P2 conf:Alta] Recibe 4903/TCP desde el RAC (agente OEM) y 3872 de vuelta | Visto en: v1+v2,Monitoring,Monitoring,Production,Cloud,UNCHANGED
,Zabbix Cloud 2 10.30.4.23,eth0:10.30.4.23,[G1 P2 conf:Media] Segunda instancia Zabbix vista solo en los registros de flujo de la nube: recibe 10051 desde 10.40.1.x | Visto en: v2,Monitoring,Monitoring,Production,Cloud,PENDING
,Base de Datos Cloud 10.40.1.11,eth0:10.40.1.11,[G1 P3 conf:Media] Recibe 1521 desde 10.40.1.21 y .22; sale a Splunk 9997 y Zabbix 10051. No interactúa con los VEN (siguiente ola) | Visto en: v2,Database,,Production,Cloud,PENDING
,Base de Datos Cloud 10.40.1.12,eth0:10.40.1.12,[G1 P3 conf:Media] Recibe 1521 desde 10.40.1.21; recibe 123/UDP desde direcciones públicas (hallazgo S-06) | Visto en: v2,Database,,Production,Cloud,PENDING
,App Server Cloud 10.40.1.21,eth0:10.40.1.21,[G1 P3 conf:Media] Consume 1521 en 10.40.1.11/.12 y sirve 8001 a 10.40.1.22; sale a Zabbix 10051 | Visto en: v2,App,,Production,Cloud,PENDING
,App Server Cloud 10.40.1.22,eth0:10.40.1.22,[G1 P3 conf:Media] Consume 8001 en 10.40.1.21 y 1521 en 10.40.1.11 (8001 denegado por el firewall de la nube desde 10.40.9.0/24) | Visto en: v2,App,,Production,Cloud,PENDING
,Servicio a identificar 10.20.9.40,eth0:10.20.9.40,[G1 P3 conf:Baja] 24000–24010/TCP consumidos por ord-app-01 (≈2.000 flujos) solo en v1; identificar el servicio antes de etiquetar | Visto en: solo v1,,,Production,DC1,PENDING
,Servicio a identificar 10.20.9.41,eth0:10.20.9.41,[G1 P3 conf:Baja] 24000–24010/TCP consumidos por ord-app-01 (≈2.000 flujos) solo en v1; identificar el servicio antes de etiquetar | Visto en: solo v1,,,Production,DC1,PENDING
