hostname,name,interfaces,description,role,app,env,loc,review
,Front-End WLS 172.27.1.150,eth0:172.27.1.150,"[C3 P1 conf:Alta] Servidores web/app front de wlsfp1a, no balanceadores: consumen 7003/7007/7053/7203/7303 (1,5 M flujos) y .6/.7 además suben archivos por FTP 21 (243.000 sesiones), algo que un balanceador no hace; comparten la /24 con appswls (172.27.1.13). El VIP que los publica no aparece en el export | Visto en: v1+v2",R_WebServer,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
,Cliente App WLS 10.51.4.163,eth0:10.51.4.163,[C3 P2 conf:Media] Consumidores de 7053/TCP en wlsfp1a (≈21.000 flujos en 7 días): integración o segundo front. Ya cubiertos por la regla de 7053 | Visto en: v1+v2,R_AppClient,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
,Cliente App WLS 10.51.4.164,eth0:10.51.4.164,[C3 P2 conf:Media] Consumidores de 7053/TCP en wlsfp1a (≈21.000 flujos en 7 días): integración o segundo front. Ya cubiertos por la regla de 7053 | Visto en: v1+v2,R_AppClient,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
,Nodo Par WLS 172.28.253.49,eth0:172.28.253.49,[C3 P1 conf:Alta] Nodo par de WebLogic: wlsfp1a le envía 7205 (312.000) y 7055 (28.000). Candidato a VEN. La regla vigente cubre solo 7055 | Visto en: v1+v2,R_AppServerWLS,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
,Front-End Ecom OCI 10.57.248.39,eth0:10.57.248.39,"[C3 P1 conf:Alta] Seis servidores front-end de la aplicación e-commerce (3 por subred/dominio de disponibilidad) que consumen 7776/7775 en occ9prohsapv02 (3,0 M flujos). No son balanceadores: la carga es desigual por nodo y por puerto (10.57.248.39 concentra 1,4 M en 7776 y no usa 7775; los otros cuatro reparten 7775 en partes iguales), y los balanceadores son los cuatro VIPs (.154/.156 en cada subred) que los publican | Visto en: v1+v2",R_WebServer,A_EcomApp,E_Prod,L_OCI,PENDING
,Front-End Ecom OCI 10.57.248.42,eth0:10.57.248.42,"[C3 P1 conf:Alta] Seis servidores front-end de la aplicación e-commerce (3 por subred/dominio de disponibilidad) que consumen 7776/7775 en occ9prohsapv02 (3,0 M flujos). No son balanceadores: la carga es desigual por nodo y por puerto (10.57.248.39 concentra 1,4 M en 7776 y no usa 7775; los otros cuatro reparten 7775 en partes iguales), y los balanceadores son los cuatro VIPs (.154/.156 en cada subred) que los publican | Visto en: v1+v2",R_WebServer,A_EcomApp,E_Prod,L_OCI,PENDING
,Front-End Ecom OCI 10.57.248.54,eth0:10.57.248.54,"[C3 P1 conf:Alta] Seis servidores front-end de la aplicación e-commerce (3 por subred/dominio de disponibilidad) que consumen 7776/7775 en occ9prohsapv02 (3,0 M flujos). No son balanceadores: la carga es desigual por nodo y por puerto (10.57.248.39 concentra 1,4 M en 7776 y no usa 7775; los otros cuatro reparten 7775 en partes iguales), y los balanceadores son los cuatro VIPs (.154/.156 en cada subred) que los publican | Visto en: v1+v2",R_WebServer,A_EcomApp,E_Prod,L_OCI,PENDING
,Front-End Ecom OCI 10.57.250.39,eth0:10.57.250.39,"[C3 P1 conf:Alta] Seis servidores front-end de la aplicación e-commerce (3 por subred/dominio de disponibilidad) que consumen 7776/7775 en occ9prohsapv02 (3,0 M flujos). No son balanceadores: la carga es desigual por nodo y por puerto (10.57.248.39 concentra 1,4 M en 7776 y no usa 7775; los otros cuatro reparten 7775 en partes iguales), y los balanceadores son los cuatro VIPs (.154/.156 en cada subred) que los publican | Visto en: v1+v2",R_WebServer,A_EcomApp,E_Prod,L_OCI,PENDING
,Front-End Ecom OCI 10.57.250.41,eth0:10.57.250.41,"[C3 P1 conf:Alta] Seis servidores front-end de la aplicación e-commerce (3 por subred/dominio de disponibilidad) que consumen 7776/7775 en occ9prohsapv02 (3,0 M flujos). No son balanceadores: la carga es desigual por nodo y por puerto (10.57.248.39 concentra 1,4 M en 7776 y no usa 7775; los otros cuatro reparten 7775 en partes iguales), y los balanceadores son los cuatro VIPs (.154/.156 en cada subred) que los publican | Visto en: v1+v2",R_WebServer,A_EcomApp,E_Prod,L_OCI,PENDING
,Front-End Ecom OCI 10.57.250.53,eth0:10.57.250.53,"[C3 P1 conf:Alta] Seis servidores front-end de la aplicación e-commerce (3 por subred/dominio de disponibilidad) que consumen 7776/7775 en occ9prohsapv02 (3,0 M flujos). No son balanceadores: la carga es desigual por nodo y por puerto (10.57.248.39 concentra 1,4 M en 7776 y no usa 7775; los otros cuatro reparten 7775 en partes iguales), y los balanceadores son los cuatro VIPs (.154/.156 en cada subred) que los publican | Visto en: v1+v2",R_WebServer,A_EcomApp,E_Prod,L_OCI,PENDING
,VIP Ecom HTTP 10.57.248.156,eth0:10.57.248.156,"[C3 P1 conf:Alta] FQDN en export (puede estar anonimizado): ocivipecom80.company.com. VIP HTTP 80 del e-commerce (un LB por subred/AD) consumido por occ9 (2,3 M flujos): el backend vuelve al front a través del balanceador | Visto en: v1+v2",R_LoadBalancer,A_EcomApp,E_Prod,L_OCI,PENDING
,VIP Ecom HTTP 10.57.250.156,eth0:10.57.250.156,"[C3 P1 conf:Alta] FQDN en export (puede estar anonimizado): ocivipecom80.company.com. VIP HTTP 80 del e-commerce (un LB por subred/AD) consumido por occ9 (2,3 M flujos): el backend vuelve al front a través del balanceador | Visto en: v1+v2",R_LoadBalancer,A_EcomApp,E_Prod,L_OCI,PENDING
,VIP Ecom OHS 10.57.248.154,eth0:10.57.248.154,"[C3 P1 conf:Alta] FQDN en export (puede estar anonimizado): ocivipecomohs7777.company.com. VIP 7777 (listener OHS) del e-commerce, un LB por subred/AD, consumido por occ9 (550.000 flujos) | Visto en: v1+v2",R_LoadBalancer,A_EcomApp,E_Prod,L_OCI,PENDING
,VIP Ecom OHS 10.57.250.154,eth0:10.57.250.154,"[C3 P1 conf:Alta] FQDN en export (puede estar anonimizado): ocivipecomohs7777.company.com. VIP 7777 (listener OHS) del e-commerce, un LB por subred/AD, consumido por occ9 (550.000 flujos) | Visto en: v1+v2",R_LoadBalancer,A_EcomApp,E_Prod,L_OCI,PENDING
,WebLogic Backend Ecom 10.12.32.109,eth0:10.12.32.109,"[C3 P1 conf:Alta] Servidores gestionados WebLogic 7002-7008 consumidos por occ9 como usuario oracle (96.000 flujos, ≈30 GB). Ya existe en el PCE con R_NoRole: esta fila solo actualiza etiquetas y descripción | Visto en: v1+v2",R_AppServerWLS,A_EcomApp,E_Prod,L_CDLV,PENDING
,Oracle RAC OFMPRODB 172.17.251.35,eth0:172.17.251.35,[C3 P1 conf:Alta] Oracle RAC (SCAN + VIPs) 1521 consumido por wlsfp1a; .36 y .37 solo se vieron en la v1. Cubiertos por la regla de 1521 | Visto en: v1+v2 (.36/.37 solo v1),R_Database,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
,Oracle RAC OFMPRODB 172.17.251.36,eth0:172.17.251.36,[C3 P1 conf:Alta] Oracle RAC (SCAN + VIPs) 1521 consumido por wlsfp1a; .36 y .37 solo se vieron en la v1. Cubiertos por la regla de 1521 | Visto en: v1+v2 (.36/.37 solo v1),R_Database,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
,Oracle RAC OFMPRODB 172.17.251.37,eth0:172.17.251.37,[C3 P1 conf:Alta] Oracle RAC (SCAN + VIPs) 1521 consumido por wlsfp1a; .36 y .37 solo se vieron en la v1. Cubiertos por la regla de 1521 | Visto en: v1+v2 (.36/.37 solo v1),R_Database,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
,Oracle RAC OFMPRODB 172.17.251.38,eth0:172.17.251.38,[C3 P1 conf:Alta] Oracle RAC (SCAN + VIPs) 1521 consumido por wlsfp1a; .36 y .37 solo se vieron en la v1. Cubiertos por la regla de 1521 | Visto en: v1+v2 (.36/.37 solo v1),R_Database,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
,Oracle RAC OFMPRODB 172.17.251.39,eth0:172.17.251.39,[C3 P1 conf:Alta] Oracle RAC (SCAN + VIPs) 1521 consumido por wlsfp1a; .36 y .37 solo se vieron en la v1. Cubiertos por la regla de 1521 | Visto en: v1+v2 (.36/.37 solo v1),R_Database,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
,Oracle DB OCI 10.52.130.106,eth0:10.52.130.106,[C3 P1 conf:Alta] Base de datos Oracle 1521 en OCI consumida por wlsfp1a (44.000 flujos en la v1; no se observó en estos 7 días) | Visto en: solo v1,R_Database,A_Wlsfp1App,E_Prod,L_OCI,PENDING
,Oracle DB OCI 10.52.130.107,eth0:10.52.130.107,[C3 P1 conf:Alta] Base de datos Oracle 1521 en OCI consumida por wlsfp1a (44.000 flujos en la v1; no se observó en estos 7 días) | Visto en: solo v1,R_Database,A_Wlsfp1App,E_Prod,L_OCI,PENDING
,Oracle DB 192.168.86.103,eth0:192.168.86.103,[C3 P2 conf:Media] Otras bases Oracle (1521/1525/1526/1627) consumidas por wlsfp1a; cuatro con direccionamiento público (S-05). 192.168.186.39 y 10.43.32.142 solo en la v1. Aplicación a confirmar: hoy se proponen dentro de A_Wlsfp1App | Visto en: v1+v2 (dos solo v1),R_Database,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
,Oracle DB 172.28.253.80,eth0:172.28.253.80,[C3 P2 conf:Media] Otras bases Oracle (1521/1525/1526/1627) consumidas por wlsfp1a; cuatro con direccionamiento público (S-05). 192.168.186.39 y 10.43.32.142 solo en la v1. Aplicación a confirmar: hoy se proponen dentro de A_Wlsfp1App | Visto en: v1+v2 (dos solo v1),R_Database,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
,Oracle DB 200.7.29.179,eth0:200.7.29.179,[C3 P2 conf:Media] Otras bases Oracle (1521/1525/1526/1627) consumidas por wlsfp1a; cuatro con direccionamiento público (S-05). 192.168.186.39 y 10.43.32.142 solo en la v1. Aplicación a confirmar: hoy se proponen dentro de A_Wlsfp1App | Visto en: v1+v2 (dos solo v1),R_Database,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
,Oracle DB 200.7.29.180,eth0:200.7.29.180,[C3 P2 conf:Media] Otras bases Oracle (1521/1525/1526/1627) consumidas por wlsfp1a; cuatro con direccionamiento público (S-05). 192.168.186.39 y 10.43.32.142 solo en la v1. Aplicación a confirmar: hoy se proponen dentro de A_Wlsfp1App | Visto en: v1+v2 (dos solo v1),R_Database,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
,Oracle DB 200.7.29.144,eth0:200.7.29.144,[C3 P2 conf:Media] Otras bases Oracle (1521/1525/1526/1627) consumidas por wlsfp1a; cuatro con direccionamiento público (S-05). 192.168.186.39 y 10.43.32.142 solo en la v1. Aplicación a confirmar: hoy se proponen dentro de A_Wlsfp1App | Visto en: v1+v2 (dos solo v1),R_Database,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
,Oracle DB 200.7.29.147,eth0:200.7.29.147,[C3 P2 conf:Media] Otras bases Oracle (1521/1525/1526/1627) consumidas por wlsfp1a; cuatro con direccionamiento público (S-05). 192.168.186.39 y 10.43.32.142 solo en la v1. Aplicación a confirmar: hoy se proponen dentro de A_Wlsfp1App | Visto en: v1+v2 (dos solo v1),R_Database,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
,Oracle DB 192.168.185.68,eth0:192.168.185.68,[C3 P2 conf:Media] Otras bases Oracle (1521/1525/1526/1627) consumidas por wlsfp1a; cuatro con direccionamiento público (S-05). 192.168.186.39 y 10.43.32.142 solo en la v1. Aplicación a confirmar: hoy se proponen dentro de A_Wlsfp1App | Visto en: v1+v2 (dos solo v1),R_Database,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
,Oracle DB 192.168.186.114,eth0:192.168.186.114,[C3 P2 conf:Media] Otras bases Oracle (1521/1525/1526/1627) consumidas por wlsfp1a; cuatro con direccionamiento público (S-05). 192.168.186.39 y 10.43.32.142 solo en la v1. Aplicación a confirmar: hoy se proponen dentro de A_Wlsfp1App | Visto en: v1+v2 (dos solo v1),R_Database,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
,Oracle DB 192.168.186.39,eth0:192.168.186.39,[C3 P2 conf:Media] Otras bases Oracle (1521/1525/1526/1627) consumidas por wlsfp1a; cuatro con direccionamiento público (S-05). 192.168.186.39 y 10.43.32.142 solo en la v1. Aplicación a confirmar: hoy se proponen dentro de A_Wlsfp1App | Visto en: v1+v2 (dos solo v1),R_Database,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
,Oracle DB 10.43.32.142,eth0:10.43.32.142,[C3 P2 conf:Media] Otras bases Oracle (1521/1525/1526/1627) consumidas por wlsfp1a; cuatro con direccionamiento público (S-05). 192.168.186.39 y 10.43.32.142 solo en la v1. Aplicación a confirmar: hoy se proponen dentro de A_Wlsfp1App | Visto en: v1+v2 (dos solo v1),R_Database,A_Wlsfp1App,E_Prod,L_CDLV,PENDING
,IBM MQ 192.168.86.76,eth0:192.168.86.76,[C3 P1 conf:Alta] IBM MQ (1414/TCP) consumido por atun4 | Visto en: v1+v2,R_Messaging,A_CoreInfra,E_Prod,L_CDLV,PENDING
,IBM MQ 192.168.86.77,eth0:192.168.86.77,[C3 P1 conf:Alta] IBM MQ (1414/TCP) consumido por atun4 | Visto en: v1+v2,R_Messaging,A_CoreInfra,E_Prod,L_CDLV,PENDING
,Splunk Indexer 10.52.129.231,eth0:10.52.129.231,[C3 P1 conf:Alta] Indexadores Splunk 9997 (forwarders en occ9 y wlsfp1a; también los reciben los seis hosts 10.52.185.x) | Visto en: v1+v2,R_LogCollector,A_Observability,E_Prod,L_OCI,PENDING
,Splunk Indexer 10.52.129.88,eth0:10.52.129.88,[C3 P1 conf:Alta] Indexadores Splunk 9997 (forwarders en occ9 y wlsfp1a; también los reciben los seis hosts 10.52.185.x) | Visto en: v1+v2,R_LogCollector,A_Observability,E_Prod,L_OCI,PENDING
,OEM OMS 10.52.129.122,eth0:10.52.129.122,[C3 P1 conf:Alta] FQDN en export (puede estar anonimizado): occ1proemap01.tdecloudprdcl.internal. Oracle Enterprise Manager (OMS) 4903 consumido por el agente emagent13c de occ9 (20.000 flujos) | Visto en: v1+v2,R_Monitoring,A_Observability,E_Prod,L_OCI,PENDING
,NetBackup 10.51.1.183,eth0:10.51.1.183,[C3 P1 conf:Alta] NetBackup (master/media) 1556 consumido por occ9; el cliente expone bpcd 13782 y vnetd 13724 | Visto en: v1+v2,R_Backup,A_CoreInfra,E_Prod,L_CDLV,PENDING
,NetBackup 10.51.1.184,eth0:10.51.1.184,[C3 P1 conf:Alta] NetBackup (master/media) 1556 consumido por occ9; el cliente expone bpcd 13782 y vnetd 13724 | Visto en: v1+v2,R_Backup,A_CoreInfra,E_Prod,L_CDLV,PENDING
,Bastion SSH 10.51.27.16,eth0:10.51.27.16,[C3 P1 conf:Alta] Origen SSH (root) hacia los tres hosts en la v1; sin sesiones en estos 7 días | Visto en: solo v1,R_Bastion,A_AdminAccess,E_Prod,L_CDLV,PENDING
,AppsWLS Web 172.27.1.13,eth0:172.27.1.13,[C3 P2 conf:Media] FQDN en export (puede estar anonimizado): appswls.company.com. HTTP 80 consumido por wlsfp1a (2.900 flujos) | Visto en: v1+v2,R_WebApp,,E_Prod,L_CDLV,PENDING
,Servidor HTTP 172.18.155.77,eth0:172.18.155.77,[C3 P2 conf:Media] HTTP 80 consumido por wlsfp1a (1.168 y 798 flujos); sin FQDN en el export. Identificar la aplicación | Visto en: v1+v2 (nuevo en la lista),R_WebApp,,E_Prod,L_CDLV,PENDING
,Servidor HTTP 172.27.18.12,eth0:172.27.18.12,[C3 P2 conf:Media] HTTP 80 consumido por wlsfp1a (1.168 y 798 flujos); sin FQDN en el export. Identificar la aplicación | Visto en: v1+v2 (nuevo en la lista),R_WebApp,,E_Prod,L_CDLV,PENDING
,SMCADM 192.168.173.200,eth0:192.168.173.200,[C3 P2 conf:Media] FQDN en export (puede estar anonimizado): smcadm.unix.dept.company.com. HTTP 80 consumido por atun4 y wlsfp1a en la v1 (28 flujos); no se observó en estos 7 días | Visto en: solo v1,R_AgentMgmt,A_SecurityTools,E_Prod,L_CDLV,PENDING
,SMTP Relay 10.43.3.13,eth0:10.43.3.13,[C3 P2 conf:Media] Relay SMTP 25 consumido por wlsfp1a en la v1; no se observó en estos 7 días | Visto en: solo v1,R_Mail,A_CoreInfra,E_Prod,L_CDLV,PENDING
,Destino FTP 172.29.14.174,eth0:172.29.14.174,[C3 P2 conf:Media] Destino FTP 21 de atun4 en la v1 (24 flujos); no se observó en estos 7 días | Visto en: solo v1,R_FileTransfer,,E_Prod,L_CDLV,PENDING
,Servicio a identificar 10.57.240.120,eth0:10.57.240.120,"[C3 P3 conf:Baja] 5052 (10.57.240.120, 2.000 flujos, sigue en v2) y 24100-24140 (los otros dos, solo v1) consumidos por occ9; identificar | Visto en: v1+v2 / solo v1",,,E_Prod,L_OCI,PENDING
,Servicio a identificar 10.52.144.93,eth0:10.52.144.93,"[C3 P3 conf:Baja] 5052 (10.57.240.120, 2.000 flujos, sigue en v2) y 24100-24140 (los otros dos, solo v1) consumidos por occ9; identificar | Visto en: v1+v2 / solo v1",,,E_Prod,L_OCI,PENDING
,Servicio a identificar 10.12.32.135,eth0:10.12.32.135,"[C3 P3 conf:Baja] 5052 (10.57.240.120, 2.000 flujos, sigue en v2) y 24100-24140 (los otros dos, solo v1) consumidos por occ9; identificar | Visto en: v1+v2 / solo v1",,,E_Prod,L_OCI,PENDING
,Zabbix OCI 2 10.12.28.79,eth0:10.12.28.79,[C3 P3 conf:Media] Segundo servidor/proxy Zabbix: consulta 10050 en los seis hosts 10.52.185.x y recibe 10051 (registros de flujo de OCI). No interactúa con los tres VEN; se propone para la siguiente ola | Visto en: nuevo (OCI),R_Monitoring,A_Observability,E_Prod,L_CDLV,PENDING
,Scanner Vulnerabilidades 10.43.33.178,eth0:10.43.33.178,[C3 P3 conf:Media] Escáneres de vulnerabilidades (S-01); no escanearon en estos 7 días. Crear cuando se confirme su identidad (cuenta cyarktenable en occ9 en la v1) | Visto en: solo v1,R_Scanner,A_SecurityTools,E_Prod,L_CDLV,PENDING
,Scanner Vulnerabilidades 10.51.25.249,eth0:10.51.25.249,[C3 P3 conf:Media] Escáneres de vulnerabilidades (S-01); no escanearon en estos 7 días. Crear cuando se confirme su identidad (cuenta cyarktenable en occ9 en la v1) | Visto en: solo v1,R_Scanner,A_SecurityTools,E_Prod,L_CDLV,PENDING
,Oracle DB OCI 10.52.185.43,eth0:10.52.185.43,"[C3 P3 conf:Media] Registros de flujo de OCI (sin VEN, no interactua con los tres VEN): Recibe 1521 desde 10.52.185.37/.50/.55; sale a Splunk 9997, Zabbix 10.12.28.79 10051 y endpoints Oracle 443; recibe 123/UDP desde direcciones publicas (S-12) | Visto en: v2 (OCI)",R_Database,,E_Prod,L_OCI,PENDING
,Oracle DB OCI 10.52.185.51,eth0:10.52.185.51,"[C3 P3 conf:Media] Registros de flujo de OCI (sin VEN, no interactua con los tres VEN): Recibe 1521 desde 10.52.185.37; sale a Splunk 9997 y Zabbix 10051; recibe barrido 9012-9448 desde 10.52.129.88 (S-13) | Visto en: v2 (OCI)",R_Database,,E_Prod,L_OCI,PENDING
,Oracle DB OCI 10.52.185.53,eth0:10.52.185.53,"[C3 P3 conf:Media] Registros de flujo de OCI (sin VEN, no interactua con los tres VEN): Recibe 1521 desde 10.52.185.55; sale a Splunk 9997; recibe 123/UDP desde direcciones publicas (S-12) | Visto en: v2 (OCI)",R_Database,,E_Prod,L_OCI,PENDING
,App Server OCI 10.52.185.37,eth0:10.52.185.37,"[C3 P3 conf:Media] Registros de flujo de OCI (sin VEN, no interactua con los tres VEN): Consume 1521 en 10.52.185.51 y 8001 en 10.52.185.55; sale a Oracle 443 y Zabbix 10051 | Visto en: v2 (OCI)",R_AppServer,,E_Prod,L_OCI,PENDING
,App Server OCI 10.52.185.50,eth0:10.52.185.50,"[C3 P3 conf:Media] Registros de flujo de OCI (sin VEN, no interactua con los tres VEN): Consume 1521 en 10.52.185.43 y 8001 en .55; sirve 8001 a 10.12.28.120 (8001 denegado por OCI desde 10.52.210.196 y 172.30.47.84) | Visto en: v2 (OCI)",R_AppServer,,E_Prod,L_OCI,PENDING
,App Server OCI 10.52.185.55,eth0:10.52.185.55,"[C3 P3 conf:Media] Registros de flujo de OCI (sin VEN, no interactua con los tres VEN): Sirve 8001 a 10.52.185.37/.50; consume 1521 en 10.52.185.53; sale a Splunk 9997, Oracle 443 y Zabbix 10051 | Visto en: v2 (OCI)",R_AppServer,,E_Prod,L_OCI,PENDING
