hostname,name,interfaces,description,role,app,env,loc,os,review
10.29.34.34,reg-soc-hids-lb-34,umwl:10.29.34.34,[G1 P1 conf:Alta] reg-soc-hids-lb.IT.com · Colector HIDS secundario 1514/UDP,HIDS,SecurityTools,Production,Datacenter,,PENDING
10.39.33.62,monitoring-10-39-33-62,umwl:10.39.33.62,[G1 P1 conf:Alta] Servidor Prometheus: consume 9100 (node_exporter) en los Linux y 9182 (windows_exporter.exe) en Windows; 23.535 flujos; único con regla en borrador,Monitoring,Observability,Production,Datacenter,,PENDING
10.29.35.81,monitoring-10-29-35-81,umwl:10.29.35.81,[G1 P2 conf:Media] Segundo scraper 9182 hacia los DCs,Monitoring,Observability,Production,Datacenter,,PENDING
10.40.54.92,monitoring-10-40-54-92,umwl:10.40.54.92,[G1 P2 conf:Media] Monitor de disponibilidad: solo ICMP echo hacia los cinco hosts del segmento POC,Monitoring,Observability,Production,Datacenter,,PENDING
10.140.0.200,bastion-10-140-0-200,umwl:10.140.0.200,"[G1 P1 conf:Alta] Bastión/salto: SSH 22 (sshd, root) a los Linux, RDP 3389 a nap-agent-03 y 10.140.0.124, ICMP",Bastion,AdminAccess,Production,POC-Segment,,PENDING
10.140.0.201,bastion-10-140-0-201,umwl:10.140.0.201,[G1 P1 conf:Alta] Bastión/salto secundario: SSH 22 e ICMP a los Linux,Bastion,AdminAccess,Production,POC-Segment,,PENDING
10.44.0.109,bastion-10-44-0-109,umwl:10.44.0.109,"[G1 P2 conf:Media] Host de administración/automatización: SSH 22 como root, scraping 9100 y 53/TCP hacia los Linux. Rol a confirmar (ver hallazgo S-07)",Bastion,AdminAccess,Production,Datacenter,,PENDING
10.140.0.119,agentmgmt-10-140-0-119,umwl:10.140.0.119,"[G1 P1 conf:Alta] Servidor de gestión del agente de segmentación de terceros instalado en los hosts (procesos gc-controller, gc-enforcement-agent, gc-deception-agent): 443/TCP, 148.648 flujos, 356 MB",AgentMgmt,SecurityTools,Production,POC-Segment,,PENDING
10.29.0.52,domaincontroller-10-29-0-52,umwl:10.29.0.52,"[G1 P2 conf:Alta] Par de replicación de 10.29.4.52: DFSR (dfsrs.exe), Kerberos, DNS 53/TCP, RPC; misma última cifra de IP en la subred 10.29.0.0/24",DomainController,ActiveDirectory,Production,Datacenter-B,,PENDING
10.29.0.57,domaincontroller-10-29-0-57,umwl:10.29.0.57,"[G1 P2 conf:Alta] Par de replicación de 10.29.4.57 (DFSR 53173, Kerberos, DNS)",DomainController,ActiveDirectory,Production,Datacenter-B,,PENDING
10.29.0.59,domaincontroller-10-29-0-59,umwl:10.29.0.59,"[G1 P2 conf:Alta] Par de replicación de 10.29.4.59 (DFSR 52196, Kerberos, Netlogon, DNS)",DomainController,ActiveDirectory,Production,Datacenter-B,,PENDING
10.29.4.51,fileserver-10-29-4-51,umwl:10.29.4.51,[G1 P2 conf:Media] Seis hosts con SMB 445 bidireccional de alto volumen con los DCs (1.000-2.000 flujos cada uno) y Kerberos; el patrón se detuvo el 26-ago 17:20. Probables servidores de archivos/DFS o DCs adicionales,FileServer,ActiveDirectory,Production,Datacenter,,PENDING
10.29.4.55,fileserver-10-29-4-55,umwl:10.29.4.55,[G1 P2 conf:Media] Seis hosts con SMB 445 bidireccional de alto volumen con los DCs (1.000-2.000 flujos cada uno) y Kerberos; el patrón se detuvo el 26-ago 17:20. Probables servidores de archivos/DFS o DCs adicionales,FileServer,ActiveDirectory,Production,Datacenter,,PENDING
10.29.4.56,fileserver-10-29-4-56,umwl:10.29.4.56,[G1 P2 conf:Media] Seis hosts con SMB 445 bidireccional de alto volumen con los DCs (1.000-2.000 flujos cada uno) y Kerberos; el patrón se detuvo el 26-ago 17:20. Probables servidores de archivos/DFS o DCs adicionales,FileServer,ActiveDirectory,Production,Datacenter,,PENDING
10.29.0.51,fileserver-10-29-0-51,umwl:10.29.0.51,[G1 P2 conf:Media] Seis hosts con SMB 445 bidireccional de alto volumen con los DCs (1.000-2.000 flujos cada uno) y Kerberos; el patrón se detuvo el 26-ago 17:20. Probables servidores de archivos/DFS o DCs adicionales,FileServer,ActiveDirectory,Production,Datacenter,,PENDING
10.29.0.55,fileserver-10-29-0-55,umwl:10.29.0.55,[G1 P2 conf:Media] Seis hosts con SMB 445 bidireccional de alto volumen con los DCs (1.000-2.000 flujos cada uno) y Kerberos; el patrón se detuvo el 26-ago 17:20. Probables servidores de archivos/DFS o DCs adicionales,FileServer,ActiveDirectory,Production,Datacenter,,PENDING
10.29.0.56,fileserver-10-29-0-56,umwl:10.29.0.56,[G1 P2 conf:Media] Seis hosts con SMB 445 bidireccional de alto volumen con los DCs (1.000-2.000 flujos cada uno) y Kerberos; el patrón se detuvo el 26-ago 17:20. Probables servidores de archivos/DFS o DCs adicionales,FileServer,ActiveDirectory,Production,Datacenter,,PENDING
10.29.36.137,logcollector-10-29-36-137,umwl:10.29.36.137,[G1 P2 conf:Alta] Colector de logs: filebeat.exe de los tres DCs hacia 5000/TCP (patrón Logstash/Beats),LogCollector,Observability,Production,Datacenter,,PENDING
10.29.37.66,logcollector-10-29-37-66,umwl:10.29.37.66,[G1 P2 conf:Alta] Segundo colector 5000/TCP,LogCollector,Observability,Production,Datacenter,,PENDING
10.29.2.187,logcollector-10-29-2-187,umwl:10.29.2.187,[G1 P2 conf:Alta] Recolección remota de Event Log: RPC 135 + puerto dinámico del servicio EventLog en los tres DCs (2.746 flujos),LogCollector,Observability,Production,Datacenter,,PENDING
10.25.11.31,webproxy-10-25-11-31,umwl:10.25.11.31,"[G1 P2 conf:Media] Proxy web alternativo 3128 usado por los DCs (mfewc.exe, PowerShell)",WebProxy,InternetAccess,Production,Datacenter,,PENDING
10.25.10.228,webproxy-10-25-10-228,umwl:10.25.10.228,[G1 P2 conf:Media] Proxy web alternativo 3128,WebProxy,InternetAccess,Production,Datacenter,,PENDING
10.29.0.232,appserver-10-29-0-232,umwl:10.29.0.232,"[G1 P3 conf:Baja] Consumidores intensivos de LDAP 389, GC 3268, SMB y Kerberos contra los tres DCs (≈2.000 flujos cada uno); servidores de aplicación integrados a AD, rol a identificar",AppServer,,Production,Datacenter-B,,PENDING
10.29.0.233,appserver-10-29-0-233,umwl:10.29.0.233,"[G1 P3 conf:Baja] Consumidores intensivos de LDAP 389, GC 3268, SMB y Kerberos contra los tres DCs (≈2.000 flujos cada uno); servidores de aplicación integrados a AD, rol a identificar",AppServer,,Production,Datacenter-B,,PENDING
